[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Simon , 1 = Ground 

# board
8	110	0	8
#healthbar
16	110	33	9
#timer
17	300	13	17
# Brick
1	0	240	24
1	32	240	24
1	64	240	24
1	128	240	24
1	160	240	24
1	192	240	24
1	224	240	24
1	256	240	24
1	288	240	24
1	320	240	24
1	352	240	24
1	384	240	24
1	416	240	24
1	448	240	24

1	544	240	24
1	576	240	24

1	672	240	24
1	704	240	24
1	768	240	24
1	800	240	24
1	832	240	24
1	864	240	24


#other brick
1	960	304	24
1	992	304	24

1	192	176	24
1	224	176	24

1	896	368	24
1	928	368	24

#stop map
1	-32	0	24
1	-32	32	24
1	-32	64	24
1	-32	96	24
1	-32	128	24
1	-32	160	24
1	-32	192	24
1	-32	224	24
1	-32	256	24
1	-32	288	24
1	-32	320	24
1	-32	352	24
1	-32	384	24
1	-32	416	24
1	-32	448	24
1	1024	0	24
1	1024	32	24
1	1024	64	24
1	1024	96	24
1	1024	128	24
1	1024	160	24
1	1024	192	24
1	1024	224	24
1	1024	256	24
1	1024	288	24
1	1024	320	24
1	1024	352	24
1	1024	384	24
1	1024	416	24
1	1024	448	24

#gate
4	672	100	2

# Simon
0	10	100	1
#whip
5	-100	-100	4
#Axe
91	0	0	6
92	0	0	22
9	0	0	20
